,EU COUNTRIES,TOTAL IMMIGRANTS(IN THOUSANDS),IMMIage),NON_NATIONAL IMMIGRANTS FROM OTHER EU MEMBER STATES(THOUSANDS),NON_NATIONAL IMMIGRANTS FROM OTHER EU MEMBER STATES(%age),NON_NATIONAL IMMIGRANTS FROM NON-EU STATES(THOUSANDS),NON_NATIONAL IMMIGRANTS FROM NON-EU STATES(%age),STATELESS IMMIGRANTS(THOUSANDS),IMMIGRANTS WITH NATIONALITY(%age),NON-NATIONAL IMMIGRANTS (THOUSANDS),NON-NATIONAL IMMIGRANTS (%,NUMBER OF IMMIGRANTS(PER THOUSAND INHABITANTS),DISTRIBUTION OF IMMIGRANTS IN %AGE (NATIONALS),DISTRIBUTION OF IMMIGRANTS IN %AGE (NON-NATIONALS),DISTRIBUTION OF IMMIGRANTS IN %AGE(UNKNOWN),PERCENTAGE OF IMMIGRANTS BY SEX(MALE),PERCENTAGE OF IMMIGRANTS BY SEX(FEMALE),%AGE OF NON-NATIONAL IMMIGRANTS IN TOTAL POPULATION(CITIZENS OF EU MEMBER STATES),%AGE OF NON-NATIONAL IMMIGRANTS IN TOTAL POPULATION(CITIZENS OF NON-EU COUNTRIES),%AGE OF FOREIGN BORN IMMIGRANTS BY TOTAL POPULATION,%AGE OF BORN IN ANOTHER EU-MEMBER STATES,%AGE OF BORN IN NON-EU COUNTRY
30,Switzerland,144.9,15.3,122.7,84.7,83.7,57.7,39.1,27.0,0.0,0.0,16.6,15.3,84.7,0.0,52.9,47.1,16.4,9.2,29.7,16.4,13.3
19,Luxembourg,25.3,6.2,23.7,93.6,15.7,62.0,8.0,31.5,0.0,0.1,39.6,6.2,93.6,0.2,54.0,46.0,38.1,9.0,49.4,33.8,15.6
6,Denmark,63.5,25.5,47.3,74.4,29.6,46.6,17.6,27.7,0.1,0.1,10.8,25.5,74.4,0.0,54.2,45.8,4.0,5.4,12.7,4.2,8.5
22,Norway,53.9,13.6,46.6,86.4,26.6,49.3,19.9,36.9,0.1,0.2,10.0,13.6,86.4,0.0,54.4,45.6,6.7,4.1,16.7,6.7,10.1
1,Belgium,139.7,12.4,121.7,87.1,63.1,45.2,58.5,41.9,0.0,0.0,12.1,12.4,87.1,0.5,54.9,45.1,8.2,4.6,18.2,7.9,10.3
2,Bulgaria,39.5,56.0,17.3,43.9,5.5,13.8,11.8,30.0,0.0,0.1,5.7,56.0,43.9,0.1,55.1,44.9,0.2,1.6,3.2,1.0,2.2
8,Finland,36.4,22.9,28.0,76.9,8.1,22.2,19.9,54.6,0.0,0.1,6.6,22.9,76.9,0.3,55.5,44.5,1.9,3.4,7.7,2.3,5.4
10,Germany,874.4,17.0,722.2,82.6,291.4,33.3,430.3,49.2,0.5,0.1,10.5,17.0,82.6,0.4,57.1,42.9,5.4,7.6,18.4,7.5,10.9
0,Austria,118.5,8.1,108.8,91.8,64.4,54.4,44.1,37.2,0.3,0.2,13.2,8.1,91.8,0.1,57.5,42.5,9.2,8.3,20.4,9.3,11.1
11,Greece,57.1,49.7,28.7,50.3,3.3,5.8,25.4,44.5,0.0,0.0,5.4,49.7,50.3,0.0,58.0,42.0,1.1,6.0,11.5,2.4,9.1
13,Iceland,9.0,22.1,7.0,77.9,5.3,58.5,1.7,19.4,0.0,0.0,24.1,22.1,77.9,0.0,58.0,42.0,11.6,3.0,19.1,12.6,6.4
12,Hungary,80.5,39.0,49.1,61.0,13.0,16.1,36.1,44.8,0.0,0.0,8.3,39.0,61.0,0.0,58.3,41.7,0.8,1.3,6.3,3.5,2.9
25,Romania,194.6,76.8,45.0,23.1,9.9,5.1,35.2,18.1,0.0,0.0,10.2,76.8,23.1,0.0,58.5,41.5,0.1,0.1,1.7,1.0,0.7
7,Estonia,19.5,36.1,12.3,63.1,4.1,20.9,8.2,42.2,0.0,0.0,14.7,36.1,63.1,0.8,60.3,39.7,1.6,13.6,15.1,1.9,13.1
27,Slovenia,23.6,16.8,19.7,83.2,2.7,11.4,17.0,71.8,0.0,0.0,11.2,16.8,83.2,0.0,61.2,38.8,1.0,7.2,14.0,3.0,11.0
5,Czechia,69.4,4.2,66.4,95.8,14.5,21.0,51.9,74.8,0.0,0.0,6.6,4.2,95.8,0.0,61.4,38.6,1.6,3.5,4.3,1.3,3.0
20,Malta ,18.1,15.3,15.4,84.7,7.0,38.7,8.3,46.0,0.0,0.0,35.0,15.3,84.7,0.0,61.4,38.6,8.6,12.0,23.6,7.9,15.7
23,Poland,241.1,18.0,197.7,82.0,80.4,33.3,117.3,48.6,0.0,0.0,6.4,18.0,82.0,0.0,61.8,38.2,0.1,1.1,2.5,0.6,1.9
16,Latvia ,12.7,48.9,6.4,50.7,0.7,5.5,5.7,45.1,0.0,0.1,6.7,48.9,50.7,0.3,66.2,33.8,0.4,12.7,11.9,1.2,10.7
18,Lithuania,44.9,52.9,21.1,47.1,0.9,2.1,20.1,44.8,0.1,0.2,16.0,52.9,47.1,0.0,67.7,32.3,0.1,1.1,6.0,0.6,5.4
3,Croatia,35.9,29.6,25.3,70.4,4.8,13.2,20.5,57.2,0.0,0.0,9.1,29.6,70.4,0.0,72.7,27.3,0.3,0.6,12.2,1.7,10.6
