,EU COUNTRIES,TOTAL IMMIGRANTS(IN THOUSANDS),IMMIage),NON_NATIONAL IMMIGRANTS FROM OTHER EU MEMBER STATES(THOUSANDS),NON_NATIONAL IMMIGRANTS FROM OTHER EU MEMBER STATES(%age),NON_NATIONAL IMMIGRANTS FROM NON-EU STATES(THOUSANDS),NON_NATIONAL IMMIGRANTS FROM NON-EU STATES(%age),STATELESS IMMIGRANTS(THOUSANDS),IMMIGRANTS WITH NATIONALITY(%age),NON-NATIONAL IMMIGRANTS (THOUSANDS),NON-NATIONAL IMMIGRANTS (%,NUMBER OF IMMIGRANTS(PER THOUSAND INHABITANTS),DISTRIBUTION OF IMMIGRANTS IN %AGE (NATIONALS),DISTRIBUTION OF IMMIGRANTS IN %AGE (NON-NATIONALS),DISTRIBUTION OF IMMIGRANTS IN %AGE(UNKNOWN),PERCENTAGE OF IMMIGRANTS BY SEX(MALE),PERCENTAGE OF IMMIGRANTS BY SEX(FEMALE),%AGE OF NON-NATIONAL IMMIGRANTS IN TOTAL POPULATION(CITIZENS OF EU MEMBER STATES),%AGE OF NON-NATIONAL IMMIGRANTS IN TOTAL POPULATION(CITIZENS OF NON-EU COUNTRIES),%AGE OF FOREIGN BORN IMMIGRANTS BY TOTAL POPULATION,%AGE OF BORN IN ANOTHER EU-MEMBER STATES,%AGE OF BORN IN NON-EU COUNTRY
4,Cyprus,24.0,16.6,20.0,83.4,8.0,33.2,12.1,50.2,0.0,0.0,26.7,16.6,83.4,0.0,46.5,53.5,10.4,8.4,22.7,10.6,12.2
9,France,336.4,31.7,229.8,68.3,58.6,17.4,171.1,50.9,0.0,0.0,5.0,31.7,68.3,0.0,49.6,50.4,2.2,5.6,12.7,2.9,9.9
24,Portugal,50.7,75.3,12.5,24.7,3.2,6.3,9.4,18.5,0.0,0.0,4.9,75.3,24.7,0.0,50.9,49.1,1.6,5.1,11.6,2.8,8.8
29,Sweden,90.6,17.7,74.4,82.1,22.9,25.3,51.1,56.4,0.4,0.4,8.7,17.7,82.1,0.3,51.3,48.7,2.9,5.3,20.0,5.1,14.9
28,Spain,528.9,13.7,456.6,86.3,110.2,20.8,346.0,65.4,0.4,0.1,11.2,13.7,86.3,0.0,51.6,48.4,3.7,7.7,15.5,3.5,12.0
17,Liechtenstein,0.7,25.0,0.5,75.0,0.2,36.5,0.3,38.6,0.0,0.0,17.1,25.0,75.0,0.0,51.6,48.4,18.0,16.4,68.6,21.3,47.3
14,Ireland,80.7,40.6,47.0,58.2,17.2,21.3,29.7,36.8,0.0,0.0,16.0,40.6,58.2,1.2,51.6,48.4,7.0,6.2,17.9,6.7,11.2
21,Netherlands,214.1,18.8,173.3,80.9,89.8,42.0,82.7,38.6,0.7,0.3,12.2,18.8,80.9,0.3,51.8,48.2,3.7,3.3,14.5,4.0,10.5
26,Slovakia,5.7,65.1,2.0,34.9,1.5,26.6,0.5,8.3,0.0,0.0,1.1,65.1,34.9,0.0,52.3,47.7,0.7,0.4,3.9,2.9,1.0
15,Italy,318.4,23.5,243.6,76.5,44.4,14.0,199.1,62.5,0.0,0.0,5.4,23.5,76.5,0.0,52.8,47.2,2.4,6.2,10.4,2.6,7.8
