Rank,Score,Title,Date_Aired,Number_of_Episodes,Members,Media_Type
1,9.10,Fullmetal Alchemist: Brotherhood,Apr 2009 - Jul 2010 ,64,"3,218,472",Series
2,9.07,Steins;Gate,Apr 2011 - Sep 2011,24,"2,473,707",Series
3,9.06,Bleach: Sennen Kessen-hen,Oct 2022 - Dec 2022 ,13,"474,138",Series
4,9.06,Gintama°,Apr 2015 - Mar 2016,51,"605,113",Series
5,9.05,Shingeki no Kyojin Season 3 Part 2,Apr 2019 - Jul 2019,10,"2,146,679",Series
6,9.04,Gintama',Apr 2011 - Mar 2012 ,51,"534,105",Series
7,9.04,Gintama: The Final,Jan 2021 - Jan 2021,1,"137,208",Movie
8,9.04,Hunter x Hunter ,Oct 2011 - Sep 2014 ,148,"2,701,154",Series
9,9.04,Kaguya-sama wa Kokurasetai: Ultra Romantic,Apr 2022 - Jun 2022 ,13,"851,445",Series
10,9.03,Gintama': Enchousen,Oct 2012 - Mar 2013 ,13,"313,446",Series
11,9.03,Shingeki no Kyojin: The Final Season - Kanketsu-hen,Mar 2023 - Now,2,"472,340",Special
12,9.02,Ginga Eiyuu Densetsu,Jan 1988 - Mar 1997 ,110,"309,193",OVA
13,8.99,Bleach: Sennen Kessen-hen - Ketsubetsu-tan,Jul 2023 -Now ,13,"178,482",Series
14,8.99,Fruits Basket: The Final,Apr 2021 - Jun 2021 ,13,"443,882",Series
15,8.98,Gintama.,Jan 2017 - Mar 2017 ,12,"302,232",Series
16,8.94,Gintama,Apr 2006 - Mar 2010,201,"1,034,418",Series
17,8.94,Koe no Katachi,Sep 2016 - Sep 2016 ,1,"2,228,957",Movie
18,8.93,3-gatsu no Lion 2nd Season,Oct 2017 - Mar 2018 ,22,"388,358",Series
19,8.93,Clannad: After Story,Oct 2008 - Mar 2009 ,24,"1,160,879",Series
20,8.91,Code Geass: Hangyaku no Lelouch R2,Apr 2008 - Sep 2008,25,"1,720,715",Series
21,8.91,Gintama Movie 2: Kanketsu-hen - Yorozuya yo Eien Nare,Jul 2013 - Jul 2013 ,1,"232,388",Movie
22,8.89,Violet Evergarden Movie,Sep 2020 - Sep 2020,1,"564,225",Movie
23,8.88,Owarimonogatari 2nd Season,Aug 2017 - Aug 2017,7,"385,248",Series
24,8.88,Gintama.: Shirogane no Tamashii-hen - Kouhan-sen,Jul 2018 - Oct 2018,14,"189,172",Series
25,8.87,Monster,Apr 2004 - Sep 2005,74,"1,041,081",Series
26,8.84,Kimi no Na wa.,Aug 2016 - Aug 2016,1,"2,635,814",Movie
27,8.84,Kaguya-sama wa Kokurasetai: First Kiss wa Owaranai,Dec 2022 - Dec 2022,1,"205,150",Movie
28,8.83,Bocchi the Rock!,Oct 2022 - Dec 2022 ,12,"464,981",Series
29,8.83,The First Slam Dunk,Dec 2022 - Dec 2022,1,"27,063",Movie
30,8.82,Vinland Saga Season 2,Jan 2023 - Jun 2023 ,24,"495,454",Series
31,8.82,Jujutsu Kaisen 2nd Season,Jul 2023 -Now ,23,"556,301",Series
32,8.81,Gintama.: Shirogane no Tamashii-hen,Jan 2018 - Mar 2018 ,12,"203,540",Series
33,8.81,Kingdom 3rd Season,Apr 2020 - Oct 2021 ,26,"93,645",Series
34,8.80,Mob Psycho 100 II,Jan 2019 - Apr 2019 ,13,"1,458,089",Series
35,8.80,Shingeki no Kyojin: The Final Season,Dec 2020 - Mar 2021 ,16,"1,882,760",Series
36,8.79,Kimetsu no Yaiba: Yuukaku-hen,Dec 2021 - Feb 2022 ,11,"1,302,152",Series
37,8.79,Kizumonogatari III: Reiketsu-hen,Jan 2017 - Jan 2017 ,1,"445,640",Movie
38,8.79,"""Oshi no Ko""",Apr 2023 - Jun 2023,11,"645,856",Series
39,8.78,Haikyuu!! Karasuno Koukou vs. Shiratorizawa Gakuen Koukou,Oct 2016 - Dec 2016 ,10,"1,157,497",Series
40,8.78,Sen to Chihiro no Kamikakushi,Jul 2001-Jul 2001,1,"1,784,960",Movie
41,8.77,Monogatari Series: Second Season,Jul 2013 - Dec 2013 ,26,"653,257",Series
42,8.77,Shingeki no Kyojin: The Final Season Part 2,Jan 2022 - Apr 2022,12,"1,170,165",Series
43,8.76,Hajime no Ippo,Oct 2000 - Mar 2002 ,75,"558,435",Series
44,8.75,Cowboy Bebop,Apr 1998 - Apr 1999,26,"1,796,109",Series
45,8.75,Kingdom 4th Season,Apr 2022 - Oct 2022,26,"55,833",Series
46,8.74,Vinland Saga,Jul 2019 - Dec 2019 ,24,"1,403,669",Series
47,8.73,Mushishi Zoku Shou 2nd Season,Oct 2014 - Dec 2014 ,10,"257,622",Series
48,8.72,Shouwa Genroku Rakugo Shinjuu: Sukeroku Futatabi-hen,Jan 2017 - Mar 2017,12,"182,450",Series
49,8.71,Mob Psycho 100 III,Oct 2022 - Dec 2022,12,"600,098",Series
50,8.71,Rurouni Kenshin: Meiji Kenkaku Romantan - Tsuioku-hen,Feb 1999 - Sep 1999 ,4,"271,108",OVA
