,Nome,Ano,Nota,Assistido
0,The Starfish,1928,5.0,2016-10-12
1,Rome Open City,1945,3.0,2020-04-14
2,Casque d'Or,1952,4.0,2020-04-25
3,Tokyo Story,1953,3.0,2020-06-01
4,Street of Shame,1956,3.0,2020-05-08
5,Elena and Her Men,1956,3.0,2021-03-31
6,Equinox Flower,1958,4.0,2020-05-20
7,Psycho,1960,4.5,2020-06-15
8,The Given Word,1962,4.0,2021-06-03
9,Le Bonheur,1965,4.5,2020-05-04
10,Now!,1965,3.0,2021-05-12
11,Eye for an Eye,1966,2.5,2020-06-30
12,Roberto Carlos em Ritmo de Aventura,1968,2.0,2020-08-04
13,Beatles Electroniques,1969,,2020-06-02
14,Ecstasis,1969,,2020-07-29
15,For My Crushed Right Eye,1969,,2020-07-29
16,Metastasis,1971,,2020-07-29
17,The Godfather,1972,2.5,2020-09-14
18,Mona Lisa,1973,,2020-06-02
19,Megalopolis,1973,4.0,2020-06-30
20,Soul in the Eye,1973,4.5,2020-05-26
21,The Amulet of Ogum,1974,3.0,2020-07-06
22,Phantom,1975,,2020-07-28
23,The Kitchen,1975,,2021-01-06
24,Atman,1975,,2020-06-02
25,Everything Visible Is Empty,1975,,2020-07-28
26,Partido Alto,1976,5.0,2020-08-22
27,Taxi Driver,1976,3.0,2023-04-16
28,Saturday Night Fever,1977,0.5,2020-09-10
29,Sky Over Water,1978,3.5,2020-05-30
30,White Hole,1979,,2020-07-28
31,Talking Heads,1980,5.0,2018-10-10
32,Connection,1981,,2020-07-29
33,Relation,1982,,2020-07-29
34,Shift,1982,,2020-07-28
35,The State of Things,1982,4.0,2020-03-17
36,Dark Habits,1983,2.5,2021-05-14
37,Nostalgia,1983,4.0,2020-04-18
38,What Have I Done to Deserve This?,1984,2.5,2023-07-09
39,The Breakfast Club,1985,0.5,2020-04-23
40,Sway,1985,,2020-07-29
41,The Day Dorival Faced the Guards,1986,5.0,2020-06-28
42,She's Gotta Have It,1986,3.0,2020-09-10
43,Engram,1987,,2020-07-29
44,The Story of Fausta,1988,1.0,2020-06-20
45,Women on the Verge of a Nervous Breakdown,1988,2.0,2021-05-20
46,Fried Green Tomatoes,1991,2.0,2021-06-10
47,Esta Não é a Sua Vida,1991,4.0,2020-06-28
48,Basic Instinct,1992,0.5,2020-09-05
49,The Age of Innocence,1993,4.5,2020-10-04
50,Kika,1993,,2023-06-18
51,Three Colours: Blue,1993,4.0,2020-03-31
52,Hail Sarajevo,1993,4.0,2021-05-12
