"month_year","C34","C91","C92","U07.1"
"01-2018","31","9","13","-"
"02-2018","21","9","19","-"
"03-2018","29","13","15","-"
"04-2018","24","6","17","-"
"05-2018","66","21","18","-"
"06-2018","68","7","18","-"
"07-2018","56","9","17","-"
"08-2018","64","19","20","-"
"09-2018","38","5","14","-"
"10-2018","69","22","20","-"
"11-2018","40","6","16","-"
"12-2018","33","11","12","-"
"01-2019","35","5","17","-"
"02-2019","54","5","14","-"
"03-2019","50","12","17","-"
"04-2019","63","23","25","-"
"05-2019","42","7","18","-"
"06-2019","24","7","8","-"
"07-2019","46","10","14","-"
"08-2019","57","11","14","-"
"09-2019","41","10","17","-"
"10-2019","52","6","17","-"
"11-2019","41","9","19","-"
"12-2019","28","15","20","-"
"01-2020","52","9","17","-"
"02-2020","52","11","13","-"
"03-2020","26","6","15",1885
"04-2020","24","3","11",16264
"05-2020","27","5","13",41982
"06-2020","39","5","11",66988
"07-2020","46","5","14",70441
"08-2020","33","12","16",60389
"09-2020","35","8","16",34118
"10-2020","35","8","14",24903
"11-2020","40","11","19",32942
"12-2020","41","8","12",51806
"01-2021","43","4","14",67939
"02-2021","40","8","19",55201
"03-2021","37","12","21",94539
"04-2021","47","11","9",99264
"05-2021","44","10","11",64530
"06-2021","42","6","16",71972
"07-2021","23","7","15",48920
"08-2021","57","17","13",38109
"09-2021","40","10","20",21065
"10-2021","50","8","14",7426
"11-2021","47","8","13",4877
"12-2021","40","11","13",2358
"01-2022","36","11","12",22861
"02-2022","40","9","10",36076
"03-2022","51","21","13",13564
"04-2022","53","6","16",6328
"05-2022","38","9","15",8251
"06-2022","42","7","21",16725
"07-2022","34","14","11",23147
"08-2022","49","15","13",8533
"09-2022","36","9","17",6409
"10-2022","40","7","12",5554
"11-2022","27","5","15",6999
"12-2022","41","9","15",6757
"01-2023","14","16","17",4180
"02-2023","26","8","10",6352
"03-2023","21","1","0",7705
