estado,Total,Hombres,Mujeres,No especificado,year,
Aguascalientes,26583 ,13603 ,12980 ,0 ,2010 ,
Baja California,63559 ,32264 ,31295 ,0 ,2010 ,
Baja California Sur,13988 ,7076 ,6912 ,0 ,2010 ,
Campeche,20380 ,10230 ,10150 ,0 ,2010 ,
Coahuila de Zaragoza,56972 ,28879 ,28093 ,0 ,2010 ,
Colima,13796 ,7105 ,6691 ,0 ,2010 ,
Chiapas,175382 ,87534 ,87789 ,59 ,2010 ,
Chihuahua,74063 ,37236 ,36827 ,0 ,2010 ,
Ciudad de México,160057 ,79504 ,80551 ,2 ,2010 ,
Durango,42514 ,21290 ,21224 ,0 ,2010 ,
Guanajuato,126741 ,63954 ,62753 ,34 ,2010 ,
Guerrero,119780 ,60314 ,59461 ,5 ,2010 ,
Hidalgo,62185 ,31129 ,31056 ,0 ,2010 ,
Jalisco,161543 ,82228 ,79315 ,0 ,2010 ,
México,335898 ,167792 ,168105 ,1 ,2010 ,
Michoacán de Ocampo,116260 ,58090 ,58170 ,0 ,2010 ,
Morelos,40210 ,19997 ,20213 ,0 ,2010 ,
Nayarit,24639 ,12526 ,12112 ,1 ,2010 ,
Nuevo León,94119 ,47733 ,46386 ,0 ,2010 ,
Oaxaca,109624 ,53592 ,56032 ,0 ,2010 ,
Puebla,160571 ,79466 ,80970 ,135 ,2010 ,
Querétaro,40863 ,20860 ,19996 ,7 ,2010 ,
Quintana Roo,28999 ,14693 ,14306 ,0 ,2010 ,
San Luis Potosí,58583 ,29486 ,29094 ,3 ,2010 ,
Sinaloa,61233 ,31179 ,30054 ,0 ,2010 ,
Sonora,54110 ,27556 ,26554 ,0 ,2010 ,
Tabasco,49844 ,25255 ,24574 ,15 ,2010 ,
Tamaulipas,69211 ,34860 ,34351 ,0 ,2010 ,
Tlaxcala,27076 ,13524 ,13547 ,5 ,2010 ,
Veracruz de Ignacio de la Llave,174086 ,86708 ,87375 ,3 ,2010 ,
Yucatán,37703 ,19072 ,18631 ,0 ,2010 ,
Zacatecas,35974 ,18083 ,17891 ,0 ,2010 ,
Extranjero,7362 ,3794 ,3565 ,3 ,2010 ,
Aguascalientes,27427 ,13951 ,13476 ,0 ,2011 ,
Baja California,65631 ,33239 ,32372 ,20 ,2011 ,
Baja California Sur,13412 ,6859 ,6552 ,1 ,2011 ,
Campeche,22138 ,10917 ,11221 ,0 ,2011 ,
Coahuila de Zaragoza,58882 ,29884 ,28998 ,0 ,2011 ,
Colima,14054 ,7164 ,6890 ,0 ,2011 ,
Chiapas,168256 ,84727 ,83468 ,61 ,2011 ,
Chihuahua,69376 ,34960 ,34414 ,2 ,2011 ,
Ciudad de México,156549 ,77907 ,78642 ,0 ,2011 ,
Durango,41922 ,21291 ,20631 ,0 ,2011 ,
Guanajuato,124003 ,62944 ,61034 ,25 ,2011 ,
Guerrero,113692 ,56741 ,56946 ,5 ,2011 ,
Hidalgo,63380 ,31821 ,31552 ,7 ,2011 ,
Jalisco,163123 ,82438 ,80685 ,0 ,2011 ,
México,327165 ,163630 ,163449 ,86 ,2011 ,
Michoacán de Ocampo,111362 ,56295 ,55067 ,0 ,2011 ,
Morelos,40230 ,20038 ,20192 ,0 ,2011 ,
Nayarit,24949 ,12668 ,12281 ,0 ,2011 ,
Nuevo León,93747 ,47315 ,46432 ,0 ,2011 ,
Oaxaca,98888 ,48750 ,50138 ,0 ,2011 ,
Puebla,146865 ,72909 ,73894 ,62 ,2011 ,
Querétaro,41714 ,20975 ,20734 ,5 ,2011 ,
Quintana Roo,28848 ,14751 ,14097 ,0 ,2011 ,
San Luis Potosí,57549 ,28978 ,28562 ,9 ,2011 ,
Sinaloa,60208 ,30486 ,29722 ,0 ,2011 ,
Sonora,54756 ,27545 ,27210 ,1 ,2011 ,
Tabasco,49575 ,25332 ,24233 ,10 ,2011 ,
Tamaulipas,66892 ,33937 ,32955 ,0 ,2011 ,
Tlaxcala,27867 ,14031 ,13834 ,2 ,2011 ,
