estado,Total,Hombres,Mujeres,No especificado,year,
Veracruz de Ignacio de la Llave,171417 ,86113 ,85303 ,1 ,2011 ,
Yucatán,36860 ,18672 ,18187 ,1 ,2011 ,
Zacatecas,36629 ,18241 ,18388 ,0 ,2011 ,
Extranjero,8921 ,4517 ,4403 ,1 ,2011 ,
Aguascalientes,26933 ,13641 ,13292 ,0 ,2012 ,
Baja California,62871 ,32111 ,30732 ,28 ,2012 ,
Baja California Sur,12864 ,6538 ,6325 ,1 ,2012 ,
Campeche,18343 ,9246 ,9097 ,0 ,2012 ,
Coahuila de Zaragoza,59966 ,30350 ,29616 ,0 ,2012 ,
Colima,13422 ,6777 ,6645 ,0 ,2012 ,
Chiapas,144423 ,72775 ,71588 ,60 ,2012 ,
Chihuahua,69735 ,35472 ,34263 ,0 ,2012 ,
Ciudad de México,153631 ,76502 ,77129 ,0 ,2012 ,
Durango,40269 ,20526 ,19743 ,0 ,2012 ,
Guanajuato,122412 ,62127 ,60253 ,32 ,2012 ,
Guerrero,98285 ,49639 ,48644 ,2 ,2012 ,
Hidalgo,59924 ,30071 ,29803 ,50 ,2012 ,
Jalisco,161217 ,82144 ,79073 ,0 ,2012 ,
México,326412 ,164952 ,161460 ,0 ,2012 ,
Michoacán de Ocampo,104885 ,53222 ,51663 ,0 ,2012 ,
Morelos,37446 ,18759 ,18687 ,0 ,2012 ,
Nayarit,25731 ,13209 ,12522 ,0 ,2012 ,
Nuevo León,94440 ,47577 ,46863 ,0 ,2012 ,
Oaxaca,95505 ,48032 ,47446 ,27 ,2012 ,
Puebla,147296 ,73535 ,73746 ,15 ,2012 ,
Querétaro,41567 ,21065 ,20500 ,2 ,2012 ,
Quintana Roo,28736 ,14513 ,14223 ,0 ,2012 ,
San Luis Potosí,55847 ,28215 ,27632 ,0 ,2012 ,
Sinaloa,57543 ,29103 ,28440 ,0 ,2012 ,
Sonora,53768 ,27453 ,26315 ,0 ,2012 ,
Tabasco,48806 ,25031 ,23770 ,5 ,2012 ,
Tamaulipas,63263 ,32197 ,31066 ,0 ,2012 ,
Tlaxcala,28203 ,14247 ,13956 ,0 ,2012 ,
Veracruz de Ignacio de la Llave,164174 ,83071 ,81103 ,0 ,2012 ,
Yucatán,36427 ,18359 ,18067 ,1 ,2012 ,
Zacatecas,35625 ,18025 ,17600 ,0 ,2012 ,
Extranjero,8911 ,4454 ,4457 ,0 ,2012 ,
Aguascalientes,26434 ,13397 ,13037 ,0 ,2013 ,
Baja California,61840 ,31345 ,30488 ,7 ,2013 ,
Baja California Sur,12489 ,6290 ,6199 ,0 ,2013 ,
Campeche,18998 ,9715 ,9282 ,1 ,2013 ,
Coahuila de Zaragoza,62490 ,31780 ,30709 ,1 ,2013 ,
Colima,13287 ,6895 ,6392 ,0 ,2013 ,
Chiapas,164102 ,82856 ,81207 ,39 ,2013 ,
Chihuahua,66516 ,33817 ,32699 ,0 ,2013 ,
Ciudad de México,145302 ,73312 ,71990 ,0 ,2013 ,
Durango,39298 ,19980 ,19318 ,0 ,2013 ,
Guanajuato,119083 ,60418 ,58634 ,31 ,2013 ,
Guerrero,102077 ,51490 ,50587 ,0 ,2013 ,
Hidalgo,59045 ,29481 ,29537 ,27 ,2013 ,
Jalisco,159748 ,81179 ,78569 ,0 ,2013 ,
México,317834 ,160651 ,157159 ,24 ,2013 ,
Michoacán de Ocampo,105158 ,53323 ,51834 ,1 ,2013 ,
Morelos,37335 ,18716 ,18619 ,0 ,2013 ,
Nayarit,24163 ,12297 ,11866 ,0 ,2013 ,
Nuevo León,93710 ,47794 ,45916 ,0 ,2013 ,
Oaxaca,92503 ,46634 ,45869 ,0 ,2013 ,
Puebla,140507 ,70764 ,69733 ,10 ,2013 ,
Querétaro,41817 ,21312 ,20504 ,1 ,2013 ,
Quintana Roo,28103 ,14122 ,13981 ,0 ,2013 ,
San Luis Potosí,54488 ,27462 ,27026 ,0 ,2013 ,
Sinaloa,56267 ,28793 ,27474 ,0 ,2013 ,
Sonora,52825 ,26878 ,25947 ,0 ,2013 ,
Tabasco,52478 ,26454 ,26015 ,9 ,2013 ,
Tamaulipas,59933 ,30599 ,29334 ,0 ,2013 ,
Tlaxcala,27060 ,13752 ,13308 ,0 ,2013 ,
Veracruz de Ignacio de la Llave,161019 ,81726 ,79293 ,0 ,2013 ,
Yucatán,38588 ,19700 ,18888 ,0 ,2013 ,
Zacatecas,35089 ,17593 ,17496 ,0 ,2013 ,
Extranjero,9303 ,4681 ,4620 ,2 ,2013 ,
Aguascalientes,27080 ,13706 ,13374 ,0 ,2014 ,
Baja California,63183 ,32156 ,31011 ,16 ,2014 ,
Baja California Sur,12667 ,6509 ,6158 ,0 ,2014 ,
Campeche,19304 ,9787 ,9516 ,1 ,2014 ,
Coahuila de Zaragoza,62966 ,32058 ,30908 ,0 ,2014 ,
Colima,13303 ,6777 ,6526 ,0 ,2014 ,
Chiapas,164912 ,83204 ,81631 ,77 ,2014 ,
Chihuahua,66110 ,33606 ,32504 ,0 ,2014 ,
Ciudad de México,145609 ,73346 ,72263 ,0 ,2014 ,
Durango,40337 ,20508 ,19829 ,0 ,2014 ,
Guanajuato,114890 ,58545 ,56335 ,10 ,2014 ,
Guerrero,90352 ,45751 ,44601 ,0 ,2014 ,
Hidalgo,54108 ,27441 ,26644 ,23 ,2014 ,
Jalisco,158592 ,80489 ,78103 ,0 ,2014 ,
México,316088 ,158590 ,157498 ,0 ,2014 ,
Michoacán de Ocampo,104370 ,52721 ,51648 ,1 ,2014 ,
Morelos,36666 ,18468 ,18198 ,0 ,2014 ,
Nayarit,22930 ,11719 ,11210 ,1 ,2014 ,
Nuevo León,93225 ,47561 ,45663 ,1 ,2014 ,
Oaxaca,88364 ,44514 ,43850 ,0 ,2014 ,
Puebla,150633 ,75955 ,74676 ,2 ,2014 ,
Querétaro,42231 ,21449 ,20782 ,0 ,2014 ,
Quintana Roo,30563 ,15542 ,15021 ,0 ,2014 ,
San Luis Potosí,54112 ,27580 ,26532 ,0 ,2014 ,
Sinaloa,55371 ,28416 ,26955 ,0 ,2014 ,
Sonora,51894 ,26506 ,25388 ,0 ,2014 ,
Tabasco,52508 ,27036 ,25470 ,2 ,2014 ,
Tamaulipas,62358 ,31728 ,30630 ,0 ,2014 ,
Tlaxcala,25832 ,13003 ,12829 ,0 ,2014 ,
Veracruz de Ignacio de la Llave,162156 ,82210 ,79946 ,0 ,2014 ,
Yucatán,37579 ,18978 ,18600 ,1 ,2014 ,
Zacatecas,34031 ,17183 ,16848 ,0 ,2014 ,
Extranjero,9096 ,4615 ,4481 ,0 ,2014 ,
Aguascalientes,26486 ,13506 ,12980 ,0 ,2015 ,
Baja California,63805 ,32363 ,31423 ,19 ,2015 ,
Baja California Sur,12526 ,6380 ,6146 ,0 ,2015 ,
Campeche,17862 ,9025 ,8837 ,0 ,2015 ,
Coahuila de Zaragoza,62807 ,31913 ,30894 ,0 ,2015 ,
Colima,12344 ,6352 ,5992 ,0 ,2015 ,
Chiapas,145526 ,74021 ,71503 ,2 ,2015 ,
Chihuahua,63395 ,32244 ,31151 ,0 ,2015 ,
Ciudad de México,135828 ,68367 ,67461 ,0 ,2015 ,
Durango,39738 ,20304 ,19434 ,0 ,2015 ,
Guanajuato,114269 ,58217 ,56045 ,7 ,2015 ,
Guerrero,80336 ,40753 ,39582 ,1 ,2015 ,
Hidalgo,54124 ,27250 ,26864 ,10 ,2015 ,
Jalisco,151578 ,77322 ,74256 ,0 ,2015 ,
México,303778 ,152879 ,150899 ,0 ,2015 ,
Michoacán de Ocampo,98543 ,49907 ,48636 ,0 ,2015 ,
Morelos,37089 ,18733 ,18356 ,0 ,2015 ,
Nayarit,23663 ,12022 ,11641 ,0 ,2015 ,
Nuevo León,93123 ,47327 ,45796 ,0 ,2015 ,
Oaxaca,85492 ,43100 ,42392 ,0 ,2015 ,
Puebla,141121 ,70819 ,70302 ,0 ,2015 ,
Querétaro,41904 ,21442 ,20462 ,0 ,2015 ,
Quintana Roo,30841 ,15660 ,15181 ,0 ,2015 ,
San Luis Potosí,52250 ,26473 ,25777 ,0 ,2015 ,
Sinaloa,53461 ,27358 ,26103 ,0 ,2015 ,
Sonora,48925 ,24942 ,23983 ,0 ,2015 ,
Tabasco,49785 ,25119 ,24666 ,0 ,2015 ,
Tamaulipas,60263 ,30807 ,29456 ,0 ,2015 ,
Tlaxcala,26166 ,13309 ,12857 ,0 ,2015 ,
Veracruz de Ignacio de la Llave,144842 ,73444 ,71398 ,0 ,2015 ,
Yucatán,37117 ,18780 ,18336 ,1 ,2015 ,
Zacatecas,33833 ,17282 ,16551 ,0 ,2015 ,
Extranjero,10776 ,5375 ,5400 ,1 ,2015 ,
Aguascalientes,26388 ,13531 ,12857 ,0 ,2016 ,
Baja California,62608 ,31671 ,30908 ,29 ,2016 ,
Baja California Sur,12545 ,6341 ,6204 ,0 ,2016 ,
Campeche,17361 ,8810 ,8551 ,0 ,2016 ,
Coahuila de Zaragoza,62011 ,31357 ,30654 ,0 ,2016 ,
Colima,11867 ,5973 ,5894 ,0 ,2016 ,
Chiapas,140356 ,71180 ,69171 ,5 ,2016 ,
Chihuahua,62313 ,31469 ,30844 ,0 ,2016 ,
Ciudad de México,128227 ,64727 ,63500 ,0 ,2016 ,
Durango,37801 ,19325 ,18476 ,0 ,2016 ,
Guanajuato,117281 ,59732 ,57547 ,2 ,2016 ,
Guerrero,87127 ,44251 ,42875 ,1 ,2016 ,
Hidalgo,52629 ,26650 ,25979 ,0 ,2016 ,
Jalisco,148377 ,75448 ,72928 ,1 ,2016 ,
México,295635 ,148943 ,146692 ,0 ,2016 ,
Michoacán de Ocampo,96217 ,48880 ,47337 ,0 ,2016 ,
Morelos,35632 ,18076 ,17556 ,0 ,2016 ,
Nayarit,21714 ,10882 ,10832 ,0 ,2016 ,
Nuevo León,92978 ,47274 ,45704 ,0 ,2016 ,
Oaxaca,83564 ,42032 ,41532 ,0 ,2016 ,
Puebla,132823 ,67019 ,65804 ,0 ,2016 ,
Querétaro,39634 ,20110 ,19524 ,0 ,2016 ,
Quintana Roo,30367 ,15333 ,15029 ,5 ,2016 ,
San Luis Potosí,49688 ,25289 ,24399 ,0 ,2016 ,
Sinaloa,53247 ,26965 ,26282 ,0 ,2016 ,
Sonora,46785 ,23703 ,23081 ,1 ,2016 ,
Tabasco,50310 ,25705 ,24605 ,0 ,2016 ,
Tamaulipas,58914 ,29794 ,29120 ,0 ,2016 ,
Tlaxcala,25057 ,12745 ,12312 ,0 ,2016 ,
Veracruz de Ignacio de la Llave,137338 ,69861 ,67477 ,0 ,2016 ,
Yucatán,35381 ,18067 ,17314 ,0 ,2016 ,
Zacatecas,33677 ,17018 ,16659 ,0 ,2016 ,
Extranjero,7856 ,4010 ,3846 ,0 ,2016 ,
Aguascalientes,26955 ,13730 ,13225 ,0 ,2017 ,
Baja California,61840 ,31263 ,30576 ,1 ,2017 ,
Baja California Sur,12573 ,6353 ,6220 ,0 ,2017 ,
Campeche,17034 ,8678 ,8356 ,0 ,2017 ,
Coahuila de Zaragoza,58393 ,29618 ,28775 ,0 ,2017 ,
Colima,11756 ,5933 ,5823 ,0 ,2017 ,
Chiapas,131638 ,67052 ,64582 ,4 ,2017 ,
Chihuahua,63475 ,32414 ,31061 ,0 ,2017 ,
Ciudad de México,119227 ,60321 ,58906 ,0 ,2017 ,
Durango,37897 ,19362 ,18535 ,0 ,2017 ,
Guanajuato,116531 ,58935 ,57593 ,3 ,2017 ,
Guerrero,79244 ,40176 ,39068 ,0 ,2017 ,
Hidalgo,50255 ,25307 ,24948 ,0 ,2017 ,
Jalisco,151950 ,77533 ,74417 ,0 ,2017 ,
México,286204 ,145460 ,140744 ,0 ,2017 ,
Michoacán de Ocampo,95287 ,48649 ,46638 ,0 ,2017 ,
Morelos,33159 ,16885 ,16274 ,0 ,2017 ,
Nayarit,21688 ,11138 ,10550 ,0 ,2017 ,
Nuevo León,89115 ,45140 ,43975 ,0 ,2017 ,
Oaxaca,78673 ,39852 ,38821 ,0 ,2017 ,
Puebla,136271 ,68838 ,67433 ,0 ,2017 ,
Querétaro,39400 ,20049 ,19351 ,0 ,2017 ,
Quintana Roo,29442 ,14926 ,14508 ,8 ,2017 ,
San Luis Potosí,48693 ,24649 ,24044 ,0 ,2017 ,
Sinaloa,51850 ,26404 ,25446 ,0 ,2017 ,
Sonora,45951 ,23402 ,22549 ,0 ,2017 ,
Tabasco,48725 ,24747 ,23978 ,0 ,2017 ,
Tamaulipas,57282 ,28836 ,28446 ,0 ,2017 ,
Tlaxcala,26589 ,13397 ,13192 ,0 ,2017 ,
Veracruz de Ignacio de la Llave,126623 ,64516 ,62107 ,0 ,2017 ,
Yucatán,35017 ,17917 ,17100 ,0 ,2017 ,
Zacatecas,34460 ,17356 ,17104 ,0 ,2017 ,
Extranjero,10842 ,5513 ,5329 ,0 ,2017 ,
Aguascalientes,25938 ,13074 ,12864 ,0 ,2018 ,
Baja California,60174 ,30692 ,29479 ,3 ,2018 ,
Baja California Sur,11917 ,6076 ,5841 ,0 ,2018 ,
Campeche,16247 ,8266 ,7980 ,1 ,2018 ,
Coahuila de Zaragoza,56718 ,29018 ,27700 ,0 ,2018 ,
Colima,11375 ,5810 ,5565 ,0 ,2018 ,
Chiapas,130200 ,66087 ,64113 ,0 ,2018 ,
Chihuahua,58617 ,29904 ,28713 ,0 ,2018 ,
Ciudad de México,111130 ,56169 ,54961 ,0 ,2018 ,
Durango,36157 ,18433 ,17724 ,0 ,2018 ,
Guanajuato,116207 ,59261 ,56939 ,7 ,2018 ,
Guerrero,73750 ,37611 ,36139 ,0 ,2018 ,
Hidalgo,48096 ,24418 ,23678 ,0 ,2018 ,
Jalisco,146960 ,74805 ,72155 ,0 ,2018 ,
México,271684 ,137299 ,134385 ,0 ,2018 ,
Michoacán de Ocampo,91526 ,46260 ,45265 ,1 ,2018 ,
Morelos,30225 ,15299 ,14926 ,0 ,2018 ,
Nayarit,20273 ,10358 ,9915 ,0 ,2018 ,
Nuevo León,93886 ,47721 ,46165 ,0 ,2018 ,
Oaxaca,79436 ,40285 ,39151 ,0 ,2018 ,
Puebla,127695 ,64788 ,62907 ,0 ,2018 ,
Querétaro,38559 ,19675 ,18884 ,0 ,2018 ,
Quintana Roo,29306 ,14973 ,14311 ,22 ,2018 ,
San Luis Potosí,47738 ,24273 ,23465 ,0 ,2018 ,
Sinaloa,51523 ,26398 ,25125 ,0 ,2018 ,
Sonora,43729 ,22282 ,21447 ,0 ,2018 ,
Tabasco,43911 ,22426 ,21485 ,0 ,2018 ,
Tamaulipas,56944 ,29139 ,27805 ,0 ,2018 ,
Tlaxcala,24842 ,12474 ,12368 ,0 ,2018 ,
Veracruz de Ignacio de la Llave,124673 ,63218 ,61455 ,0 ,2018 ,
Yucatán,35158 ,17996 ,17162 ,0 ,2018 ,
Zacatecas,33098 ,16748 ,16350 ,0 ,2018 ,
Extranjero,14843 ,7438 ,7404 ,1 ,2018 ,
