estado,Total,No especificado,year,Unnamed: 6,Mulheres_Homens
Aguascalientes,26583,0,2010,,26583
Baja California,63559,0,2010,,63559
Baja California Sur,13988,0,2010,,13988
Campeche,20380,0,2010,,20380
Coahuila de Zaragoza,56972,0,2010,,56972
Colima,13796,0,2010,,13796
Chiapas,175382,59,2010,,175323
Chihuahua,74063,0,2010,,74063
Ciudad de México,160057,2,2010,,160055
Durango,42514,0,2010,,42514
Guanajuato,126741,34,2010,,126707
Guerrero,119780,5,2010,,119775
Hidalgo,62185,0,2010,,62185
Jalisco,161543,0,2010,,161543
México,335898,1,2010,,335897
Michoacán de Ocampo,116260,0,2010,,116260
Morelos,40210,0,2010,,40210
Nayarit,24639,1,2010,,24638
Nuevo León,94119,0,2010,,94119
Oaxaca,109624,0,2010,,109624
Puebla,160571,135,2010,,160436
Querétaro,40863,7,2010,,40856
Quintana Roo,28999,0,2010,,28999
San Luis Potosí,58583,3,2010,,58580
Sinaloa,61233,0,2010,,61233
Sonora,54110,0,2010,,54110
Tabasco,49844,15,2010,,49829
Tamaulipas,69211,0,2010,,69211
Tlaxcala,27076,5,2010,,27071
Veracruz de Ignacio de la Llave,174086,3,2010,,174083
Yucatán,37703,0,2010,,37703
Zacatecas,35974,0,2010,,35974
Extranjero,7362,3,2010,,7359
Aguascalientes,27427,0,2011,,27427
Baja California,65631,20,2011,,65611
Baja California Sur,13412,1,2011,,13411
Campeche,22138,0,2011,,22138
Coahuila de Zaragoza,58882,0,2011,,58882
Colima,14054,0,2011,,14054
Chiapas,168256,61,2011,,168195
Chihuahua,69376,2,2011,,69374
Ciudad de México,156549,0,2011,,156549
Durango,41922,0,2011,,41922
Guanajuato,124003,25,2011,,123978
Guerrero,113692,5,2011,,113687
Hidalgo,63380,7,2011,,63373
Jalisco,163123,0,2011,,163123
México,327165,86,2011,,327079
Michoacán de Ocampo,111362,0,2011,,111362
Morelos,40230,0,2011,,40230
Nayarit,24949,0,2011,,24949
Nuevo León,93747,0,2011,,93747
Oaxaca,98888,0,2011,,98888
Puebla,146865,62,2011,,146803
Querétaro,41714,5,2011,,41709
Quintana Roo,28848,0,2011,,28848
San Luis Potosí,57549,9,2011,,57540
Sinaloa,60208,0,2011,,60208
Sonora,54756,1,2011,,54755
Tabasco,49575,10,2011,,49565
Tamaulipas,66892,0,2011,,66892
Tlaxcala,27867,2,2011,,27865
Veracruz de Ignacio de la Llave,171417,1,2011,,171416
Yucatán,36860,1,2011,,36859
Zacatecas,36629,0,2011,,36629
Extranjero,8921,1,2011,,8920
Aguascalientes,26933,0,2012,,26933
Baja California,62871,28,2012,,62843
Baja California Sur,12864,1,2012,,12863
Campeche,18343,0,2012,,18343
Coahuila de Zaragoza,59966,0,2012,,59966
Colima,13422,0,2012,,13422
Chiapas,144423,60,2012,,144363
Chihuahua,69735,0,2012,,69735
Ciudad de México,153631,0,2012,,153631
Durango,40269,0,2012,,40269
Guanajuato,122412,32,2012,,122380
Guerrero,98285,2,2012,,98283
Hidalgo,59924,50,2012,,59874
Jalisco,161217,0,2012,,161217
México,326412,0,2012,,326412
Michoacán de Ocampo,104885,0,2012,,104885
Morelos,37446,0,2012,,37446
Nayarit,25731,0,2012,,25731
Nuevo León,94440,0,2012,,94440
Oaxaca,95505,27,2012,,95478
Puebla,147296,15,2012,,147281
Querétaro,41567,2,2012,,41565
Quintana Roo,28736,0,2012,,28736
San Luis Potosí,55847,0,2012,,55847
Sinaloa,57543,0,2012,,57543
Sonora,53768,0,2012,,53768
Tabasco,48806,5,2012,,48801
Tamaulipas,63263,0,2012,,63263
Tlaxcala,28203,0,2012,,28203
Veracruz de Ignacio de la Llave,164174,0,2012,,164174
Yucatán,36427,1,2012,,36426
Zacatecas,35625,0,2012,,35625
Extranjero,8911,0,2012,,8911
Aguascalientes,26434,0,2013,,26434
Baja California,61840,7,2013,,61833
Baja California Sur,12489,0,2013,,12489
Campeche,18998,1,2013,,18997
Coahuila de Zaragoza,62490,1,2013,,62489
Colima,13287,0,2013,,13287
Chiapas,164102,39,2013,,164063
Chihuahua,66516,0,2013,,66516
Ciudad de México,145302,0,2013,,145302
Durango,39298,0,2013,,39298
Guanajuato,119083,31,2013,,119052
Guerrero,102077,0,2013,,102077
Hidalgo,59045,27,2013,,59018
Jalisco,159748,0,2013,,159748
México,317834,24,2013,,317810
Michoacán de Ocampo,105158,1,2013,,105157
Morelos,37335,0,2013,,37335
Nayarit,24163,0,2013,,24163
Nuevo León,93710,0,2013,,93710
Oaxaca,92503,0,2013,,92503
Puebla,140507,10,2013,,140497
Querétaro,41817,1,2013,,41816
Quintana Roo,28103,0,2013,,28103
San Luis Potosí,54488,0,2013,,54488
Sinaloa,56267,0,2013,,56267
Sonora,52825,0,2013,,52825
Tabasco,52478,9,2013,,52469
Tamaulipas,59933,0,2013,,59933
Tlaxcala,27060,0,2013,,27060
Veracruz de Ignacio de la Llave,161019,0,2013,,161019
Yucatán,38588,0,2013,,38588
Zacatecas,35089,0,2013,,35089
Extranjero,9303,2,2013,,9301
Aguascalientes,27080,0,2014,,27080
Baja California,63183,16,2014,,63167
Baja California Sur,12667,0,2014,,12667
Campeche,19304,1,2014,,19303
Coahuila de Zaragoza,62966,0,2014,,62966
Colima,13303,0,2014,,13303
Chiapas,164912,77,2014,,164835
Chihuahua,66110,0,2014,,66110
Ciudad de México,145609,0,2014,,145609
Durango,40337,0,2014,,40337
Guanajuato,114890,10,2014,,114880
Guerrero,90352,0,2014,,90352
Hidalgo,54108,23,2014,,54085
Jalisco,158592,0,2014,,158592
México,316088,0,2014,,316088
Michoacán de Ocampo,104370,1,2014,,104369
Morelos,36666,0,2014,,36666
Nayarit,22930,1,2014,,22929
Nuevo León,93225,1,2014,,93224
Oaxaca,88364,0,2014,,88364
Puebla,150633,2,2014,,150631
Querétaro,42231,0,2014,,42231
Quintana Roo,30563,0,2014,,30563
San Luis Potosí,54112,0,2014,,54112
Sinaloa,55371,0,2014,,55371
Sonora,51894,0,2014,,51894
Tabasco,52508,2,2014,,52506
Tamaulipas,62358,0,2014,,62358
Tlaxcala,25832,0,2014,,25832
Veracruz de Ignacio de la Llave,162156,0,2014,,162156
Yucatán,37579,1,2014,,37578
Zacatecas,34031,0,2014,,34031
Extranjero,9096,0,2014,,9096
Aguascalientes,26486,0,2015,,26486
Baja California,63805,19,2015,,63786
Baja California Sur,12526,0,2015,,12526
Campeche,17862,0,2015,,17862
Coahuila de Zaragoza,62807,0,2015,,62807
Colima,12344,0,2015,,12344
Chiapas,145526,2,2015,,145524
Chihuahua,63395,0,2015,,63395
Ciudad de México,135828,0,2015,,135828
Durango,39738,0,2015,,39738
Guanajuato,114269,7,2015,,114262
Guerrero,80336,1,2015,,80335
Hidalgo,54124,10,2015,,54114
Jalisco,151578,0,2015,,151578
México,303778,0,2015,,303778
Michoacán de Ocampo,98543,0,2015,,98543
Morelos,37089,0,2015,,37089
Nayarit,23663,0,2015,,23663
Nuevo León,93123,0,2015,,93123
Oaxaca,85492,0,2015,,85492
Puebla,141121,0,2015,,141121
Querétaro,41904,0,2015,,41904
Quintana Roo,30841,0,2015,,30841
San Luis Potosí,52250,0,2015,,52250
Sinaloa,53461,0,2015,,53461
Sonora,48925,0,2015,,48925
Tabasco,49785,0,2015,,49785
Tamaulipas,60263,0,2015,,60263
Tlaxcala,26166,0,2015,,26166
Veracruz de Ignacio de la Llave,144842,0,2015,,144842
Yucatán,37117,1,2015,,37116
Zacatecas,33833,0,2015,,33833
Extranjero,10776,1,2015,,10775
Aguascalientes,26388,0,2016,,26388
Baja California,62608,29,2016,,62579
Baja California Sur,12545,0,2016,,12545
Campeche,17361,0,2016,,17361
Coahuila de Zaragoza,62011,0,2016,,62011
Colima,11867,0,2016,,11867
Chiapas,140356,5,2016,,140351
Chihuahua,62313,0,2016,,62313
Ciudad de México,128227,0,2016,,128227
Durango,37801,0,2016,,37801
Guanajuato,117281,2,2016,,117279
Guerrero,87127,1,2016,,87126
Hidalgo,52629,0,2016,,52629
Jalisco,148377,1,2016,,148376
México,295635,0,2016,,295635
Michoacán de Ocampo,96217,0,2016,,96217
Morelos,35632,0,2016,,35632
Nayarit,21714,0,2016,,21714
Nuevo León,92978,0,2016,,92978
Oaxaca,83564,0,2016,,83564
Puebla,132823,0,2016,,132823
Querétaro,39634,0,2016,,39634
Quintana Roo,30367,5,2016,,30362
San Luis Potosí,49688,0,2016,,49688
Sinaloa,53247,0,2016,,53247
Sonora,46785,1,2016,,46784
Tabasco,50310,0,2016,,50310
Tamaulipas,58914,0,2016,,58914
Tlaxcala,25057,0,2016,,25057
Veracruz de Ignacio de la Llave,137338,0,2016,,137338
Yucatán,35381,0,2016,,35381
Zacatecas,33677,0,2016,,33677
Extranjero,7856,0,2016,,7856
Aguascalientes,26955,0,2017,,26955
Baja California,61840,1,2017,,61839
Baja California Sur,12573,0,2017,,12573
Campeche,17034,0,2017,,17034
Coahuila de Zaragoza,58393,0,2017,,58393
Colima,11756,0,2017,,11756
Chiapas,131638,4,2017,,131634
Chihuahua,63475,0,2017,,63475
Ciudad de México,119227,0,2017,,119227
Durango,37897,0,2017,,37897
Guanajuato,116531,3,2017,,116528
Guerrero,79244,0,2017,,79244
Hidalgo,50255,0,2017,,50255
Jalisco,151950,0,2017,,151950
México,286204,0,2017,,286204
Michoacán de Ocampo,95287,0,2017,,95287
Morelos,33159,0,2017,,33159
Nayarit,21688,0,2017,,21688
Nuevo León,89115,0,2017,,89115
Oaxaca,78673,0,2017,,78673
Puebla,136271,0,2017,,136271
Querétaro,39400,0,2017,,39400
Quintana Roo,29442,8,2017,,29434
San Luis Potosí,48693,0,2017,,48693
Sinaloa,51850,0,2017,,51850
Sonora,45951,0,2017,,45951
Tabasco,48725,0,2017,,48725
Tamaulipas,57282,0,2017,,57282
Tlaxcala,26589,0,2017,,26589
Veracruz de Ignacio de la Llave,126623,0,2017,,126623
Yucatán,35017,0,2017,,35017
Zacatecas,34460,0,2017,,34460
Extranjero,10842,0,2017,,10842
Aguascalientes,25938,0,2018,,25938
Baja California,60174,3,2018,,60171
Baja California Sur,11917,0,2018,,11917
Campeche,16247,1,2018,,16246
Coahuila de Zaragoza,56718,0,2018,,56718
Colima,11375,0,2018,,11375
Chiapas,130200,0,2018,,130200
Chihuahua,58617,0,2018,,58617
Ciudad de México,111130,0,2018,,111130
Durango,36157,0,2018,,36157
Guanajuato,116207,7,2018,,116200
Guerrero,73750,0,2018,,73750
Hidalgo,48096,0,2018,,48096
Jalisco,146960,0,2018,,146960
México,271684,0,2018,,271684
Michoacán de Ocampo,91526,1,2018,,91525
Morelos,30225,0,2018,,30225
Nayarit,20273,0,2018,,20273
Nuevo León,93886,0,2018,,93886
